,Age,Gender,City,Education,Income,Dateofjoining,Joining_Designation,Grade,Total_Business_Value,is_rating_increased,is_income_increased,is_grade_increased,is_joining_increased
126,34.0,1.0,C20,0,61913,2020-04-17,3,3,0,0,0,0,0
127,39.0,0.0,C17,0,29013,2016-04-22,1,3,24273480,1,0,0,0
128,30.0,0.0,C15,0,89602,2019-09-15,4,4,950170,0,0,0,0
129,31.0,0.0,C17,0,31547,2018-06-03,1,2,1419720,1,0,0,0
130,38.0,1.0,C22,1,148588,2018-10-14,5,5,1472800,0,0,0,0
131,30.0,0.0,C21,1,47211,2020-07-03,1,1,0,0,0,0,0
132,27.0,0.0,C26,1,118363,2017-09-10,2,3,1602380,0,0,0,0
133,41.0,1.0,C9,1,41046,2018-07-01,1,1,0,0,0,0,0
134,26.0,0.0,C22,1,45832,2020-07-03,1,1,0,0,0,0,0
135,44.0,1.0,C4,1,30121,2017-07-21,1,1,6278140,0,0,0,0
136,38.0,0.0,C25,2,35793,2018-06-19,1,1,0,0,0,0,0
137,36.0,0.0,C2,1,100064,2019-10-31,3,3,0,0,0,0,0
138,29.0,0.0,C6,0,25731,2020-05-08,1,1,0,0,0,0,0
139,37.0,1.0,C26,0,106171,2019-06-17,1,4,10395250,0,0,0,0
140,25.0,1.0,C21,2,76307,2018-10-16,2,2,0,0,0,0,0
141,30.2,0.0,C18,1,35283,2018-03-02,1,1,1154620,0,0,0,0
142,26.0,0.0,C15,2,33057,2019-10-07,2,2,12087570,0,0,0,0
143,34.0,0.0,C14,2,38409,2018-05-01,2,2,5239360,0,0,0,0
144,35.0,0.0,C7,2,91458,2019-07-04,3,3,1987680,0,0,0,0
145,44.0,1.0,C23,1,56242,2018-08-24,2,2,3466180,0,0,0,0
146,41.0,1.0,C6,2,101395,2017-11-07,2,3,5365850,0,0,0,0
147,39.0,0.0,C28,0,56174,2014-06-13,1,3,19866290,1,0,0,0
148,39.0,1.0,C21,1,22065,2018-07-27,1,1,2970500,0,0,0,0
149,31.0,0.0,C13,0,27889,2018-09-22,1,1,19580,0,0,0,0
150,34.0,0.0,C15,0,21276,2020-05-04,1,1,0,0,0,0,0
151,31.0,0.0,C4,1,43053,2018-12-14,1,1,600000,0,0,0,0
152,23.0,1.0,C7,0,36637,2018-09-11,2,2,550000,0,0,0,0
153,33.0,1.0,C11,2,24490,2018-05-26,1,1,1616780,0,0,0,0
154,34.0,0.0,C29,1,95694,2018-06-26,2,4,0,0,0,0,0
155,30.0,1.0,C17,2,26926,2020-11-06,3,3,0,0,0,0,0
156,32.0,0.0,C22,2,25832,2020-01-13,1,1,866320,0,0,0,0
157,33.0,1.0,C23,2,43263,2019-11-03,1,1,903800,0,0,0,0
158,34.0,1.0,C21,2,62199,2020-04-12,2,2,903160,0,0,0,0
159,29.0,0.0,C1,0,82120,2016-11-30,1,3,2416570,0,0,0,0
160,34.0,0.0,C26,1,20922,2019-11-02,2,2,151600,0,0,0,0
161,34.0,0.0,C12,0,36483,2019-11-15,2,2,2516690,0,0,0,0
162,36.0,1.0,C1,0,108051,2018-11-07,4,4,121980,0,0,0,0
163,27.0,1.0,C11,2,63380,2019-12-19,3,3,10666090,1,0,0,0
164,37.0,1.0,C9,1,66952,2020-04-10,3,3,2412240,0,0,0,0
165,47.0,0.0,C26,2,59084,2018-05-07,1,2,9983020,0,0,0,0
166,30.0,0.0,C8,0,54074,2020-06-28,2,2,2000000,0,0,0,0
167,27.0,0.0,C18,0,19419,2020-09-28,1,1,0,0,0,0,0
168,44.0,0.0,C14,1,75001,2020-05-29,3,3,1150720,1,0,0,0
169,41.0,0.0,C25,1,94594,2013-10-16,2,3,1985150,0,0,0,0
170,30.0,0.0,C14,0,87902,2016-12-16,1,3,31533700,1,0,0,0
171,46.0,0.0,C8,1,66707,2019-11-28,3,3,0,0,0,0,0
172,38.0,1.0,C5,0,42260,2019-05-30,3,3,0,0,0,0,0
173,33.0,0.0,C28,0,28921,2020-10-30,1,1,593300,0,0,0,0
174,34.0,1.0,C4,2,84713,2019-07-04,3,3,2816440,0,0,0,0
175,33.0,1.0,C14,0,68151,2017-12-05,1,2,337230,0,0,0,0
176,39.0,0.0,C12,0,15826,2020-12-20,1,1,0,0,0,0,0
177,26.0,1.0,C10,0,12968,2020-09-28,1,1,0,0,0,0,0
178,32.0,0.0,C29,0,61894,2018-05-09,3,3,3209720,0,0,0,0
179,31.0,0.0,C16,2,31657,2019-01-06,1,1,376780,0,0,0,0
180,38.0,0.0,C29,2,64583,2020-05-03,3,3,802540,0,0,0,0
181,34.0,1.0,C6,2,81730,2020-06-05,3,3,0,0,0,0,0
182,37.0,0.0,C24,0,59947,2018-09-05,2,2,12182590,0,0,0,0
183,33.0,1.0,C15,1,17307,2019-07-19,1,1,1742410,0,0,0,0
184,30.0,0.0,C20,1,86340,2019-07-04,2,2,7020890,0,0,0,0
185,32.0,0.0,C10,1,27328,2016-05-20,1,2,5854230,0,0,0,0
186,25.0,0.0,C21,0,27979,2020-07-31,1,1,734620,1,0,0,0
187,36.0,0.0,C5,0,51657,2018-05-11,2,2,2805350,0,0,0,0
188,38.0,1.0,C18,1,107539,2013-11-20,2,3,2784450,0,0,0,0
189,31.0,0.0,C3,0,13051,2018-12-29,1,1,0,0,0,0,0
190,26.0,0.0,C2,0,92753,2019-09-12,3,3,0,0,0,0,0
191,25.0,0.0,C20,0,59108,2018-08-24,2,2,1559910,0,0,0,0
192,32.0,0.0,C14,0,44792,2020-07-13,3,3,2242270,1,0,0,0
193,36.0,1.0,C18,1,55528,2019-11-09,2,2,1172300,0,0,0,0
194,45.0,1.0,C29,2,61912,2020-05-01,3,3,7237950,0,0,0,0
195,45.0,0.0,C6,2,53385,2016-07-25,1,1,10390120,0,0,0,0
196,43.0,0.0,C28,0,104995,2019-08-03,4,4,11947410,1,0,0,0
197,34.0,0.0,C25,0,44359,2018-10-13,2,2,5824480,0,0,0,0
198,32.0,0.0,C5,1,21354,2018-10-22,1,1,0,0,0,0,0
199,34.0,0.0,C15,2,23185,2018-07-03,1,1,0,0,0,0,0
200,36.0,1.0,C27,1,139139,2020-06-28,3,3,500000,0,0,0,0
201,27.0,1.0,C23,1,52616,2020-01-02,2,2,2800740,1,0,0,0
202,39.0,1.0,C16,0,37873,2018-10-08,1,1,0,0,0,0,0
203,33.0,0.0,C10,0,75626,2020-09-04,3,3,181070,0,0,0,0
204,32.0,0.0,C20,0,40168,2020-01-14,2,2,495310,0,0,0,0
205,24.0,0.0,C1,0,33901,2018-11-12,1,1,0,0,0,0,0
206,28.0,0.0,C21,0,11236,2019-11-03,1,1,0,0,0,0,0
207,26.0,0.0,C4,2,60228,2020-08-14,3,3,483150,0,0,0,0
208,40.0,0.0,C20,2,37346,2018-05-04,1,2,3095340,0,0,0,0
209,38.0,0.0,C23,2,77903,2020-09-11,2,2,0,0,0,0,0
210,42.0,0.0,C10,1,64128,2016-12-13,1,2,2278190,0,0,0,0
211,39.0,1.0,C4,0,27294,2020-06-14,2,2,619900,0,0,0,0
212,37.0,0.0,C24,2,81700,2018-06-16,1,3,28348090,0,0,0,0
213,21.0,0.0,C10,0,25172,2018-10-19,1,1,0,0,0,0,0
214,30.0,0.0,C29,1,31655,2019-12-14,3,3,150230,0,0,0,0
215,29.0,0.0,C13,0,25459,2020-05-03,1,1,2658050,1,0,0,0
216,29.0,0.0,C24,1,47864,2019-10-31,1,1,0,0,0,0,0
217,42.0,1.0,C20,2,90988,2018-07-27,3,3,7912770,0,0,0,0
218,28.0,1.0,C2,1,24862,2019-01-16,2,2,1200020,0,0,0,0
219,24.0,0.0,C6,0,19170,2020-10-12,1,1,289500,0,0,0,0
220,25.0,0.0,C11,2,49439,2020-12-18,1,1,0,0,0,0,0
221,34.0,0.0,C3,1,40381,2020-05-30,1,1,1706780,1,0,0,0
222,43.0,0.0,C16,1,40102,2017-10-17,1,2,2558650,0,0,0,0
223,36.0,0.0,C5,0,89200,2019-10-07,3,3,3643890,1,0,0,0
224,31.0,1.0,C6,1,54352,2019-06-01,1,1,4024340,0,0,0,0
225,36.0,0.0,C11,1,76336,2020-05-04,3,3,260000,0,0,0,0
226,38.0,0.0,C29,2,134529,2020-05-29,4,4,19169110,1,0,0,0
227,37.0,0.0,C5,1,64901,2019-05-30,2,2,8992830,1,0,0,0
228,29.0,0.0,C16,1,40259,2020-08-30,1,1,461970,0,0,0,0
229,39.0,0.0,C7,1,53224,2020-12-20,2,2,0,0,0,0,0
230,41.0,0.0,C20,0,97226,2016-05-02,1,4,33697790,0,1,1,0
231,30.0,1.0,C23,1,107495,2020-06-30,3,3,965680,1,0,0,0
232,34.0,0.0,C2,0,52191,2016-10-21,1,1,529010,0,0,0,0
233,29.0,1.0,C2,0,41800,2019-11-02,1,1,2736130,0,0,0,0
234,34.0,1.0,C6,2,108013,2013-10-12,4,4,6751230,0,0,0,0
235,43.0,1.0,C20,1,78607,2020-10-10,3,3,246810,0,0,0,0
236,29.0,1.0,C21,0,57339,2020-08-16,2,2,0,0,0,0,0
237,27.0,1.0,C29,2,57420,2020-11-10,2,2,0,0,0,0,0
238,34.0,0.0,C20,2,42189,2020-01-03,2,2,0,0,0,0,0
239,30.0,1.0,C24,1,70781,2020-07-13,2,2,150400,0,0,0,0
240,30.0,1.0,C7,0,13605,2020-05-22,1,1,0,0,0,0,0
241,41.0,1.0,C17,0,62901,2020-12-18,2,2,0,0,0,0,0
242,29.0,0.0,C3,0,51110,2020-07-18,2,2,0,0,0,0,0
243,25.0,1.0,C5,1,66842,2019-07-28,1,1,0,0,0,0,0
244,27.0,1.0,C20,2,49695,2018-02-12,2,2,1273240,0,0,0,0
245,33.0,1.0,C29,2,81858,2020-07-05,3,3,0,0,0,0,0
246,28.0,1.0,C11,1,45981,2016-12-02,1,1,373410,0,0,0,0
247,36.0,0.0,C21,0,13793,2020-10-10,1,1,153360,0,0,0,0
248,29.0,1.0,C8,0,35983,2019-01-05,2,2,225690,0,0,0,0
249,32.0,1.0,C20,1,65094,2018-06-10,1,2,29901450,0,0,0,0
250,38.0,0.0,C8,2,109473,2020-12-19,3,3,0,0,0,0,0
251,39.0,0.0,C20,0,70753,2019-09-12,3,3,1501770,0,0,0,0
252,36.0,1.0,C28,0,25851,2019-08-20,1,1,0,0,0,0,0
253,42.0,0.0,C28,1,78645,2015-10-15,1,2,0,0,0,0,0
254,30.2,0.0,C9,0,20176,2018-08-26,1,1,0,0,0,0,0
255,31.0,1.0,C4,0,53025,2020-11-29,2,2,0,0,0,0,0
256,39.0,0.0,C26,0,88207,2018-10-05,2,4,56839380,0,1,1,0
257,32.0,0.0,C5,2,188418,2014-08-15,2,5,58024490,0,0,0,0
258,30.0,1.0,C5,1,77597,2020-12-11,3,3,0,0,0,0,0
259,27.0,1.0,C3,2,58439,2020-12-11,1,1,0,0,0,0,0
260,34.0,0.0,C16,0,26047,2020-03-18,2,2,0,0,0,0,0
261,33.0,1.0,C15,0,96603,2020-04-18,3,3,150050,0,0,0,0
262,29.0,1.0,C9,2,50281,2020-09-12,3,3,0,0,0,0,0
263,47.0,0.0,C12,2,42592,2018-09-19,1,1,250000,0,0,0,0
264,35.0,0.0,C5,1,59936,2019-06-17,2,2,5195840,0,0,0,0
265,33.0,1.0,C3,1,37890,2019-10-18,1,1,0,0,0,0,0
266,30.0,0.0,C27,2,51819,2020-01-02,3,3,0,0,0,0,0
267,28.0,1.0,C20,0,63126,2018-07-13,1,2,30153680,0,1,1,0
268,27.0,1.0,C25,1,29869,2019-10-31,1,1,242500,0,0,0,0
269,41.0,1.0,C6,0,57245,2019-06-15,2,2,400000,0,0,0,0
270,30.0,1.0,C29,2,64558,2020-01-06,2,2,3159800,1,0,0,0
271,31.0,0.0,C26,1,69160,2020-07-03,3,3,4600000,0,0,0,0
272,30.2,0.0,C15,2,50739,2018-11-30,1,1,109020,0,0,0,0
273,24.0,0.0,C28,2,69454,2020-04-21,2,2,194000,0,0,0,0
274,38.0,0.0,C3,1,26658,2018-05-29,1,1,841620,0,0,0,0
275,35.0,1.0,C28,1,54816,2018-12-11,3,3,200000,0,0,0,0
276,44.0,1.0,C11,1,133752,2015-07-19,1,3,14717150,0,0,0,0
277,39.0,1.0,C15,1,35694,2018-09-24,1,1,0,0,0,0,0
278,35.0,0.0,C25,2,71154,2020-09-27,3,3,0,0,0,0,0
279,29.0,0.0,C24,2,51152,2019-02-03,1,1,134360,0,0,0,0
280,44.0,1.0,C6,1,45796,2018-09-19,1,1,1296960,0,0,0,0
281,29.0,1.0,C9,0,58812,2019-01-07,2,2,323290,0,0,0,0
282,41.0,1.0,C11,2,94685,2020-11-17,3,3,0,0,0,0,0
283,47.0,0.0,C10,2,140769,2018-02-10,2,4,9577580,0,0,0,0
284,45.0,1.0,C8,2,62135,2018-09-15,2,2,0,0,0,0,0
285,32.0,0.0,C17,1,55937,2019-06-13,3,3,1827320,0,0,0,0
286,36.0,0.0,C16,0,33327,2018-08-08,1,1,544560,0,0,0,0
287,40.0,0.0,C11,1,49592,2019-12-24,2,2,3946480,1,0,0,0
288,45.0,0.0,C18,2,83084,2018-07-09,3,3,11082000,0,0,0,0
289,24.0,0.0,C4,1,26563,2020-01-16,1,1,150440,0,0,0,0
290,28.0,0.0,C2,1,55938,2020-02-02,3,3,0,0,0,0,0
291,35.0,1.0,C27,1,35284,2020-07-31,2,2,834890,1,0,0,0
292,31.0,1.0,C2,1,92158,2019-12-02,3,3,1072230,0,0,0,0
293,36.0,1.0,C15,0,57044,2018-01-05,2,3,0,0,0,0,0
294,28.0,1.0,C13,1,71326,2020-09-01,2,2,0,0,0,0,0
295,33.0,0.0,C26,2,56317,2019-05-27,2,2,116400,0,0,0,0
296,33.0,0.0,C10,2,55441,2018-12-03,2,2,0,0,0,0,0
297,31.0,0.0,C9,1,50609,2019-12-10,2,2,8254930,1,0,0,0
298,44.0,0.0,C24,0,39564,2019-02-24,1,1,632080,0,0,0,0
299,31.0,1.0,C18,2,33134,2018-07-15,1,1,13594350,0,0,0,0
300,31.0,1.0,C11,0,60555,2018-11-30,1,1,0,0,0,0,0
301,34.0,0.0,C22,2,135879,2018-06-16,3,3,3163760,0,0,0,0
302,35.0,0.0,C2,0,127616,2020-03-08,4,4,13191530,0,0,0,0
303,40.0,1.0,C26,2,117830,2019-10-29,3,3,5175130,0,0,0,0
304,37.0,0.0,C4,2,107473,2019-06-20,2,4,35460020,1,0,0,0
305,39.0,1.0,C20,1,58347,2018-10-21,2,2,313450,0,0,0,0
306,33.0,0.0,C21,0,13743,2018-09-17,1,1,333120,0,0,0,0
307,38.0,1.0,C20,2,51609,2020-05-04,2,2,3912140,1,0,0,0
308,30.0,0.0,C21,2,67650,2019-12-08,2,2,1670310,0,0,0,0
309,27.0,0.0,C13,2,35727,2020-03-07,1,1,456170,0,0,0,0
310,24.0,1.0,C22,0,44740,2020-02-01,2,2,0,0,0,0,0
311,29.0,0.0,C15,2,44630,2020-10-30,2,2,0,0,0,0,0
312,45.0,0.0,C23,1,51911,2018-09-18,1,2,30869270,0,1,1,0
313,32.0,0.0,C20,0,28186,2020-09-20,1,1,0,0,0,0,0
314,48.0,1.0,C20,1,49113,2018-07-20,1,1,12205880,1,0,0,0
315,33.0,1.0,C26,0,82259,2019-06-30,2,2,196560,0,0,0,0
316,30.0,1.0,C23,2,38569,2019-11-01,1,1,4526790,0,0,0,0
317,36.0,0.0,C27,0,109992,2020-04-07,3,3,3526230,0,0,0,0
318,38.0,0.0,C5,2,88715,2020-08-07,2,2,2250980,1,0,0,0
319,35.0,0.0,C5,0,121332,2015-10-11,1,3,19017290,0,0,0,0
320,33.0,0.0,C9,2,35057,2020-12-13,3,3,0,0,0,0,0
321,31.0,0.0,C13,2,29106,2018-05-22,1,1,3315120,0,0,0,0
322,28.0,0.0,C18,0,12938,2020-10-18,1,1,0,0,0,0,0
323,41.0,1.0,C17,0,43969,2018-09-17,1,1,5040480,0,0,0,0
324,26.0,1.0,C27,1,52364,2018-10-21,2,2,2271730,0,0,0,0
325,35.0,1.0,C28,2,77156,2020-09-28,3,3,1131560,0,0,0,0
326,45.0,1.0,C18,1,137082,2015-02-06,2,4,5875810,0,0,0,0
327,29.0,1.0,C22,2,45245,2016-11-25,1,1,265760,0,0,0,0
328,34.0,0.0,C15,1,43611,2019-12-05,2,2,3023960,0,0,0,0
329,30.0,1.0,C15,2,45923,2019-05-23,2,2,400000,0,0,0,0
330,32.0,1.0,C22,2,70428,2018-10-29,1,1,0,0,0,0,0
331,37.0,0.0,C22,1,133783,2016-01-14,1,3,17483970,1,0,0,0
332,35.0,1.0,C20,1,84850,2020-01-30,3,3,0,0,0,0,0
333,34.0,1.0,C20,2,97722,2014-06-06,2,4,27458220,1,0,0,0
334,28.0,0.0,C12,2,73194,2019-06-02,2,2,1231540,0,0,0,0
335,30.0,0.0,C5,2,63280,2020-12-07,2,2,0,0,0,0,0
336,31.0,0.0,C5,2,40604,2018-10-17,1,1,920230,0,0,0,0
337,35.0,0.0,C19,0,65729,2019-10-08,2,2,9748190,0,0,0,0
338,38.0,1.0,C23,0,76069,2018-06-02,2,2,921350,0,0,0,0
339,46.0,0.0,C24,2,91279,2015-11-29,1,3,26927680,1,0,0,0
340,29.0,0.0,C15,2,24049,2020-10-13,2,2,0,0,0,0,0
341,36.0,0.0,C1,0,41553,2018-10-19,2,2,3328970,0,0,0,0
342,34.0,0.0,C14,2,25028,2019-06-06,1,1,3506580,0,0,0,0
343,43.0,0.0,C12,2,38625,2018-08-22,1,1,0,0,0,0,0
